,date,chain,project,pool,symbol,tvlUsd,tvlChange1d,tvlChange7d,apy,apyMean7d,apyStd7d,apyMean30d,apy7DStdRatio,SD_Score,SD_Score_7D_avg,stablecoin
162144,2023-12-17,BSC,openleverage,79b97764-7e54-46a6-8db5-e3be417cc984,USDT,13004.0,0.0,-13.994708994708994,41.64356,5257.462445714285,3563.0826217384356,50.37101,1.4755376183640554,5.174825174825175,4.322102788036498,True
254589,2023-12-17,BSC,hydt-protocol,bfeac0a7-a2af-40bb-9934-21a192535098,HYDT,11215.0,-3.758688749678196,,1205.30548,1437.516416,172.0672437838294,1923.89449,8.354387414992088,2.445840872414299,1.3234923306104232,True
243145,2023-12-17,BSC,hydt-protocol,b6f89389-9b86-4360-b63d-ab5030b00712,HYDT-USDT,11669.0,-2.007054081289894,,504.6184,579.6770366666667,44.12016255228471,710.54895,13.138597029866311,2.9329551567313805,2.922360484652255,True
302677,2023-12-17,Polygon,affine-defi,e2a30074-8904-4425-b798-08b2b0e9c5b9,USDC,11553.0,0.3735881841876676,-23.64177131526768,135.37906,422.34011428571426,455.2597905270451,272.83986,0.927690349716103,2.7215511760966304,3.751157958236533,True
101979,2023-12-17,Boba,teahouse-permissionless,4be56e67-7f3b-482e-87ec-be13ca0bd9f2,USDC-BOBA0.05%,97959.0,-0.05713411212568964,-21.62318577745538,248.90198,254.89490285714285,184.4735480684241,218.31518,1.381742290567309,35.56457528485501,39.18921921796518,True
291623,2023-12-17,Metis,beefy,db7be304-bcaa-4fcc-b779-f6badecb4009,MAIA-MUSDC,104081.0,-0.3790307914660618,-0.10749282581363762,213.30809,246.9860485714286,26.54102126848209,236.60669,9.305823090716132,37.281774169886056,38.037277916379374,True
47341,2023-12-17,Arbitrum,magpie,241ad769-8991-4899-9d41-2cc665e0f61a,USD+,27436.0,0.06565030272083217,0.05105389832980034,234.53356,243.3596714285714,13.740962037998266,203.75571,17.71052643589307,15.041517922636805,15.570453465901664,True
1688,2023-12-17,BSC,pancakeswap-amm-v3,0162524d-130c-470f-93ee-d286e06f2a09,FDUSD-BUSD,10628.0,-0.2440397972592434,2.6959126485650797,25.26969,240.34571285714287,484.21710112005906,72.94188,0.4963594063513887,1.3917550980488045,1.3004741469083974,True
329194,2023-12-17,Polygon,uniswap-v3,f7ad2bda-9c73-4689-a7d6-0496dda21a78,USDC-USDR,59178.0,0.36123123887050745,-20.460746495342807,298.34545,234.47872428571432,102.52072703273957,205.63384,2.287134817243683,27.537385691231847,27.325263354164257,True
237453,2023-12-17,Arbitrum,chronos-v1,b1a2bd37-dd28-4c31-b7c4-c39d94ae16b3,WUSDR-USDC,12197.0,-0.20454917362133784,-0.7163207163207175,212.22182,225.30395142857145,7.144110071445313,208.37485,31.53702129102143,4.169397036529904,4.531841136605716,True
241994,2023-12-17,Avalanche,uniswap-v3,b5f0ff28-2ff0-4dfe-9efa-662cdbe0aab4,USDC-FRAX,73397.0,-0.11295590636908326,124.83381834890488,98.78246,190.76545142857142,112.8340244107724,182.51472,1.6906731141139624,30.90126656560223,29.147857730296817,True
296993,2023-12-17,Ethereum,dfx-v2,deb9441d-50e5-4483-9d1c-868946e9a163,EUROC-USDC,15689.0,-0.12731555159463115,-31.058575383398512,154.32543,167.6850457142857,18.112545628180847,157.967,9.257950216196493,8.118881118881118,9.513170881289243,True
93624,2023-12-17,Polygon,merkl,463ac019-5297-4d4d-aff0-6239798563c8,USDC-MAI,95601.0,7.5255876729276805,,122.73721,158.25294,52.67573691938918,175.85355,3.00428526025517,34.94899506088318,32.030932536834975,True
317450,2023-12-17,Polygon,gamma,eea359cd-68ee-45bf-8d6c-26baccc37d47,USDC-EURO3,39427.0,137.48343573063488,98.6947538174671,81.70458,142.7838042857143,52.42281945657727,439.35529,2.7236956303730397,20.233947870311507,13.694140431193347,True
70186,2023-12-17,Polygon,retro,34cba303-7b52-4032-aeef-96ea4fcf6ae6,USDC-MAI(0.3%),95593.0,7.42959250185431,,122.73721,127.99231,7.43183369162685,150.25443,17.222170908399608,34.83045625702968,34.44709803746348,True
210367,2023-12-17,BSC,openleverage,9c1c35cd-1177-4b34-9204-58f6b05868a1,BUSD,20229.0,0.0,-94.5609270810927,181.77016,123.59438142857142,72.7617139614512,36.807,1.698618335104793,11.27903564966502,29.548546797995524,True
223886,2023-12-17,Ethereum,liquis,a5cb96ec-331b-4d66-829f-fa0f238f1250,FRAX-ALUSD,57416.0,-0.05570254839158961,-0.027859033291544044,105.8324,111.09768,6.947847433611208,217.81925,15.990230220449149,26.967577876668784,27.75916382181791,True
83288,2023-12-17,Osmosis,osmosis-dex,3ce018ed-1a94-4f39-bc90-bc3273efb011,STSTARS-STARS,1029612.0,10.579817700082582,164.45536340356455,20.23707,108.57248714285711,237.04241885882863,34.46064,0.4580297807689762,74.21203970854322,62.17074074295185,True
292227,2023-12-17,Solana,orca,dbf322c3-a163-4a2a-8ca1-56a04e4f56ee,USDC-USDCAR,118024.0,0.9364657185129355,86.11076069130819,89.77959,103.00635571428572,62.919400460408845,64.26722,1.637115976321183,39.4274536652159,39.994924413760764,True
134930,2023-12-17,Avalanche,joe-v2.1,6507ecf1-96f4-4aa9-9f39-7ba44e25acf9,MIM-USDT,24948.0,0.0,-25.29420571941907,115.54499,101.78431,36.07208540427352,50.31204,2.821691866695942,13.800185828157858,12.86482329573784,True
